序号,股票代码,股票简称,所属概念
1,002125,湘潭电化,小金属概念;钠离子电池;金属镍;锂电池概念;固态电池;宁德时代概念;比亚迪概念;节能环保;国企改革;污水处理;深股通;融资融券
2,002057,中钢天源,中俄贸易概念;燃料电池;新能源汽车;比亚迪概念;氢能源;稀土永磁;石墨烯;核电;一带一路;机器人概念;小金属概念;人形机器人;军工;专精特新;固态电池;国企改革;化债概念(AMC概念);房屋检测;央企国企改革;中字头股票;融资融券;深股通
3,300778,新城市,地下管网;新型城镇化;水利;换电概念;智慧城市;低空经济;垃圾分类;粤港澳大湾区;华为概念;乡村振兴
4,300057,万顺新材,钠离子电池;锂电池概念;DeepSeek概念;储能;建筑节能;虚拟数字人;PET铜箔;宁德时代概念;光伏概念;柔性屏(折叠屏);OLED;比亚迪概念;超级电容;低辐射玻璃(Low-E);深股通;融资融券
5,003037,三和管桩,地下管网;水利;新型城镇化;装配式建筑;海工装备;回购增持再贷款概念;一带一路;智能物流;粤港澳大湾区;风电
6,002457,青龙管业,水利;新型城镇化;地下管网;乡村振兴;京津冀一体化;新疆振兴;西部大开发;参股银行;2024年报预增
7,300505,川金诺,磷化工;化肥;宠物经济;西部大开发;固废处理;锂电池概念;一带一路;人民币贬值受益;2025一季报预增;融资融券
8,301117,佳缘科技,数据安全;DRG/DIP;网络安全;量子科技;智慧政务;安防;军工信息化;卫星导航;智能交通;AI智能体;移动支付;商业航天;芯片概念;人工智能;汽车芯片;区块链;数据中心;东数西算(算力);华为概念;军工;数字经济;智能医疗;DeepSeek概念;互联网医疗;西部大开发;融资融券
9,301505,苏州规划,水利;新型城镇化;空间计算;污水处理;智慧城市;智能交通;车联网(车路协同);低空经济;融资融券
10,301349,信德新材,高压快充;碳纤维;钠离子电池;专精特新;锂电池概念;钒电池;固态电池;融资融券
11,300011,鼎汉技术,高端装备;高铁;人工智能;机器人概念;高压快充;储能;语音技术;汽车热管理;空气能热泵;动力电池回收;一带一路;国企改革
12,605089,味知香,预制菜;电子商务;冷链物流;长三角一体化
13,603301,振德医疗,医药电商;医疗器械概念;2024年报预增;人民币贬值受益;跨境电商;沪股通;融资融券
14,300501,海顺新材,固态电池;锂电池概念;回购增持再贷款概念
15,300481,濮阳惠成,专精特新;OLED;氢能源;风电;深股通;融资融券
16,002864,盘龙药业,流感;肝炎概念;创新药;消毒剂;医疗器械概念;西部大开发
